GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sse-engine,com.bally.evolve.core.sse.engine.monitoring,EventQueueMonitor,0,40,1,3,0,13,1,5,0,4
sse-engine,com.bally.evolve.core.sse.engine.monitoring,SseRegistryMonitor,7,61,1,3,3,23,1,7,0,6
sse-engine,com.bally.evolve.core.sse.engine.exception,InvalidSubscriptionException,0,4,0,0,0,2,0,1,0,1
sse-engine,com.bally.evolve.core.sse.engine.event.model,DelayedEvent,0,54,0,0,0,14,0,8,0,8
sse-engine,com.bally.evolve.core.sse.engine.event.model,Event,24,107,9,7,2,28,6,15,0,13
sse-engine,com.bally.evolve.core.sse.engine,SseSubscription,0,40,0,0,0,10,0,9,0,9
sse-engine,com.bally.evolve.core.sse.engine,SseEngineProperties,0,31,0,0,0,6,0,9,0,9
sse-engine,com.bally.evolve.core.sse.engine.event,EventSubscriber,0,30,1,1,0,8,1,4,0,4
sse-engine,com.bally.evolve.core.sse.engine.event,EventWebFluxSubscriber,4,66,1,3,1,17,1,6,0,5
sse-engine,com.bally.evolve.core.sse.engine.event,EventWebMvcSubscriber,17,101,1,3,6,22,2,8,1,7
sse-engine,com.bally.evolve.core.sse.engine.event,EventPublisher,4,59,4,6,1,19,4,5,0,4
sse-engine,com.bally.evolve.core.sse.engine.event,EventWebFluxPublisher,9,82,2,2,1,27,3,5,1,5
sse-engine,com.bally.evolve.core.sse.engine.event,EventDispatcher,0,23,0,0,0,5,0,3,0,3
sse-engine,com.bally.evolve.core.sse.engine.event,EventWebMvcPublisher,10,64,1,1,2,24,2,4,1,4
